"locale","region","date","description","type","notes"
"es-EC","","2015-01-01","Año Nuevo","NF",""
"es-EC","","2015-01-02","Año Nuevo","NF",""
"es-EC","","2015-02-16","Carnaval","NV",""
"es-EC","","2015-02-17","Carnaval","NV",""
"es-EC","","2015-04-03","Viernes Santo","NRV",""
"es-EC","","2015-05-01","Día del Trabajo","NF",""
"es-EC","","2015-05-24","Batalla del Pichincha","NF",""
"es-EC","","2015-08-10","Primer Grito de Independencia","NF",""
"es-EC","","2015-10-09","Independencia de Guayaquil","NF",""
"es-EC","","2015-11-02","Día de Difuntos","NV",""
"es-EC","","2015-11-03","Independencia de Cuenca","NV",""
"es-EC","","2015-12-25","Navidad","NRF",""
